Control ID,Description,Bridging SCF Controls,Relevant SCG Controls
CFG-03,"Mechanisms exist to configure systems to provide only essential capabilities by specifically prohibiting or restricting the use of ports, protocols, and/or services.",CFG-03,"automation-9.activity-log, esx-9.ceip-disable, esx-9.deactivate-mob, esx-9.deactivate-shell, esx-9.forensic-snapshots, esx-9.hardware-management-security, esx-9.hardware-ports, esx-9.hardware-virtual-nic, esx-9.network-dvfilter, esx-9.snmp, esx-9.ssh, guest-9.tools-deactivate-appinfo, guest-9.tools-deactivate-containerinfo, guest-9.tools-deactivate-guestoperations, guest-9.tools-deactivate-gueststoreupgrade, guest-9.tools-deactivate-servicediscovery, installer-9.security, nsx-9.ceip-disable, nsx-9.dhcp-disable, nsx-9.multicast-disable, nsx-9.snmp, nsx-9.ssh, nsx-9.t1-dhcp-disable, nsx-9.t1-multicast-disable, operations-9.ceip-disable, operations-9.in-page-feedback, pnr-9.ssh, vcenter-9.ceip-disable, vcenter-9.client-feedback, vcenter-9.client-telemetry, vcenter-9.network-restrict-discovery-protocol, vcenter-9.snmp, vcenter-9.ssh, vcenter-9.vds-health-check-disable, vm-9.deactivate-console-copy, vm-9.deactivate-console-paste, vm-9.deactivate-disk-shrinking-shrink, vm-9.deactivate-disk-shrinking-wiper, vm-9.deactivate-non-essential-3d-features, vm-9.dvfilter, vm-9.efi-boot-types, vm-9.isolation-device-connectable-deactivate, vm-9.isolation-tools-dnd-deactivate, vm-9.pci-passthrough, vm-9.persistent-disk, vm-9.remove-unnecessary-devices, vm-9.restrict-host-info, vsan-9.hcl-internet"
CFG-03.1,"Mechanisms exist to periodically review system configurations to identify and disable unnecessary and/or non-secure functions, ports, protocols and services.",CFG-03.1,"nsx-9.inactive-interfaces, nsx-9.routing-protocols-unused, nsx-9.t1-inactive-interfaces"
CFG-03.2,Mechanisms exist to configure systems to prevent the execution of unauthorized software programs.,CFG-03.2,esx-9.vib-trusted-binaries
CFG-06,"Automated mechanisms exist to monitor, enforce and report on configurations for endpoint devices.",CFG-06,"vcenter-9.network-reset-port, vcenter-9.network-restrict-port-level-overrides, vsan-9.force-provisioning"
CFG-08,"Mechanisms exist to configure Technology Assets, Applications and/or Services (TAAS) to restrict access to sensitive/regulated data.",CFG-08,operations-9.credential-ownership-enforcement
CHG-02,Mechanisms exist to govern the technical configuration change control processes.,CHG-02,vsan-9.auto-policy-management
CHG-04,Mechanisms exist to enforce configuration restrictions in an effort to restrict the ability of users to conduct unauthorized changes.,CHG-04,"esx-9.hardware-management-config-lock, guest-9.tools-add-feature, guest-9.tools-allow-transforms, guest-9.tools-globalconf, guest-9.tools-prevent-recustomization, guest-9.tools-remove-feature, vsan-9.managed-disk-claim"
CHG-04.2,Mechanisms exist to prevent the installation of software and firmware components without verification that the component has been digitally signed using an organization-approved certificate authority.,CHG-04.2,"esx-9.vib-acceptance-level-supported, operations-9.unsigned-pak, vcenter-9.content-library-ovf"
CLD-05,Mechanisms exist to ensure the integrity of virtual machine images at all times.,CLD-05,vcenter-9.content-library-ovf
CRY-01,Mechanisms exist to facilitate the implementation of cryptographic protections controls using known public standards and trusted cryptographic technologies.,CRY-01,"esx-9.entropy, esx-9.hardware-cpu-amd-cc, esx-9.hardware-cpu-intel-cc, nsx-9.load-balancer-fips, vcenter-9.snmp3"
CRY-01.1,Cryptographic mechanisms exist to prevent unauthorized disclosure of information as an alternative to physical safeguards.,CRY-01.1,vsan-9.encryption-rest
CRY-01.5,"Mechanisms exist to identify, document and review deployed cryptographic cipher suites and protocols to proactively respond to industry trends regarding the continued viability of utilized cryptographic cipher suites and protocols.",CRY-01.5,"esx-9.tls-ciphers, nsx-9.tls-ciphers, vcenter-9.tls-ciphers"
